strategy_name,window_label,group_type,group_value,total_trades,wins,losses,win_rate,profit_factor,net_profit,average_trade,max_drawdown,max_consecutive_losses
proxy_hardened_no_worst_hours,last_50_trades,hour,22,1,0,1,0.0,0.0,-29.058743967067276,-29.058743967067276,29.058743967067276,1
proxy_hardened_no_worst_hours,last_50_trades,side,BUY,28,9,19,32.142857142857146,0.9890206405446189,-7.468223726131669,-0.26672227593327386,318.1960779252088,8
proxy_hardened_no_worst_hours,last_50_trades,side,SELL,22,10,12,45.45454545454545,1.0942482116306733,59.84351384092641,2.7201597200421097,272.4364211400741,3
proxy_hardened_no_worst_hours,last_50_trades,signal_reason,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=100.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,2,1,1,50.0,1.8037184812836309,34.272983792539605,17.136491896269803,42.64302064797826,1
proxy_hardened_no_worst_hours,last_50_trades,signal_reason,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=72.0 | opposite_score=30.0 | session=NEW YORK | RR=2.00,4,0,4,0.0,0.0,-140.81621338422394,-35.204053346055986,140.81621338422394,4
proxy_hardened_no_worst_hours,last_50_trades,signal_reason,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=72.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,1,0,1,0.0,0.0,-54.207083178851605,-54.207083178851605,54.207083178851605,1
proxy_hardened_no_worst_hours,last_50_trades,signal_reason,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=74.0 | opposite_score=4.0 | session=LONDON | RR=2.00,3,2,1,66.66666666666666,5.489412542631368,131.99210509517937,43.99736836505979,29.400752067622452,1
proxy_hardened_no_worst_hours,last_50_trades,signal_reason,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=76.0 | opposite_score=4.0 | session=LONDON | RR=2.00,2,0,2,0.0,0.0,-79.86425854305736,-39.93212927152868,79.86425854305736,2
proxy_hardened_no_worst_hours,last_50_trades,signal_reason,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=80.0 | opposite_score=8.0 | session=LONDON | RR=2.00,2,1,1,50.0,2.086268850960507,42.908365370985564,21.454182685492782,39.50068653174108,1
proxy_hardened_no_worst_hours,last_50_trades,signal_reason,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=85.0 | opposite_score=4.0 | session=LONDON | RR=2.00,7,4,3,57.14285714285714,3.8509229411709582,223.02914711330314,31.861306730471878,28.502255532985288,1
